seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Random,Heuristic,114,1,2,1.0,114,114,6,6
1,Random,Heuristic,59,2,1,0.0,59,59,5,7
2,Random,Heuristic,2,2,1,0.0,2,2,3,3
3,Random,Heuristic,47,2,1,0.0,47,47,3,6
4,Random,Heuristic,2,2,1,0.0,2,2,3,3
5,Random,Heuristic,2,2,1,0.0,2,2,3,3
6,Random,Heuristic,2,2,1,0.0,2,2,3,3
7,Random,Heuristic,76,2,1,0.0,76,76,8,11
8,Random,Heuristic,86,2,1,0.0,86,86,5,18
9,Random,Heuristic,2,2,1,0.0,2,2,3,3
10,Random,Heuristic,2,2,1,0.0,2,2,3,3
11,Random,Heuristic,45,2,1,0.0,45,45,8,4
12,Random,Heuristic,62,2,1,0.0,62,62,5,10
13,Random,Heuristic,2,2,1,0.0,2,2,3,3
14,Random,Heuristic,96,2,1,0.0,96,96,9,8
15,Random,Heuristic,80,2,1,0.0,80,80,10,13
16,Random,Heuristic,40,2,1,0.0,40,40,4,7
17,Random,Heuristic,2,2,1,0.0,2,2,3,3
18,Random,Heuristic,90,2,1,0.0,90,90,9,10
19,Random,Heuristic,33,2,1,0.0,33,33,5,5
