seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Heuristic,MCTS-All-exploration-1p05,200,2,1,0.0,200,200,21,22
1,Heuristic,MCTS-All-exploration-1p05,200,2,1,0.0,200,200,15,22
2,Heuristic,MCTS-All-exploration-1p05,127,1,2,1.0,127,127,10,18
3,Heuristic,MCTS-All-exploration-1p05,186,1,2,1.0,186,186,26,22
4,Heuristic,MCTS-All-exploration-1p05,200,1,2,1.0,200,200,26,25
5,Heuristic,MCTS-All-exploration-1p05,200,2,1,0.0,200,200,21,22
6,Heuristic,MCTS-All-exploration-1p05,200,1,2,1.0,200,200,30,24
7,Heuristic,MCTS-All-exploration-1p05,135,1,2,1.0,135,135,18,19
8,Heuristic,MCTS-All-exploration-1p05,71,1,2,1.0,71,71,11,9
9,Heuristic,MCTS-All-exploration-1p05,77,1,2,1.0,77,77,13,13
0,Heuristic,MCTS-Vanilla,142,1,2,1.0,142,142,14,13
1,Heuristic,MCTS-Vanilla,164,1,2,1.0,164,164,15,18
2,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,22,26
3,Heuristic,MCTS-Vanilla,111,1,2,1.0,111,111,10,17
4,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,37,14
5,Heuristic,MCTS-Vanilla,118,1,2,1.0,118,118,18,11
6,Heuristic,MCTS-Vanilla,117,1,2,1.0,117,117,15,12
7,Heuristic,MCTS-Vanilla,42,1,2,1.0,42,42,11,4
8,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,36,15
9,Heuristic,MCTS-Vanilla,99,1,2,1.0,99,99,16,12
0,MCTS-Vanilla,MCTS-All-exploration-1p05,200,2,1,0.0,200,200,21,22
1,MCTS-Vanilla,MCTS-All-exploration-1p05,12,1,2,1.0,12,12,4,4
2,MCTS-Vanilla,MCTS-All-exploration-1p05,75,1,2,1.0,75,75,9,8
3,MCTS-Vanilla,MCTS-All-exploration-1p05,157,1,2,1.0,157,157,19,18
4,MCTS-Vanilla,MCTS-All-exploration-1p05,188,2,1,0.0,188,188,18,25
5,MCTS-Vanilla,MCTS-All-exploration-1p05,200,2,1,0.0,200,200,15,27
6,MCTS-Vanilla,MCTS-All-exploration-1p05,200,1,2,1.0,200,200,31,19
7,MCTS-Vanilla,MCTS-All-exploration-1p05,200,2,1,0.0,200,200,23,29
8,MCTS-Vanilla,MCTS-All-exploration-1p05,200,2,1,0.0,200,200,15,33
9,MCTS-Vanilla,MCTS-All-exploration-1p05,200,2,1,0.0,200,200,21,30
0,Random,Heuristic,58,2,1,0.0,58,58,3,3
1,Random,Heuristic,41,2,1,0.0,41,41,3,6
2,Random,Heuristic,189,2,1,0.0,189,189,22,24
3,Random,Heuristic,13,2,1,0.0,13,13,3,5
4,Random,Heuristic,58,2,1,0.0,58,58,3,10
5,Random,Heuristic,113,2,1,0.0,113,113,13,11
6,Random,Heuristic,21,2,1,0.0,21,21,3,5
7,Random,Heuristic,2,2,1,0.0,2,2,3,3
8,Random,Heuristic,24,2,1,0.0,24,24,5,6
9,Random,Heuristic,21,2,1,0.0,21,21,3,6
0,Random,MCTS-All-exploration-1p05,38,2,1,0.0,38,38,3,6
1,Random,MCTS-All-exploration-1p05,13,1,2,1.0,13,13,4,4
2,Random,MCTS-All-exploration-1p05,2,2,1,0.0,2,2,3,3
3,Random,MCTS-All-exploration-1p05,97,2,1,0.0,97,97,4,16
4,Random,MCTS-All-exploration-1p05,2,2,1,0.0,2,2,3,3
5,Random,MCTS-All-exploration-1p05,2,2,1,0.0,2,2,3,3
6,Random,MCTS-All-exploration-1p05,30,2,1,0.0,30,30,5,6
7,Random,MCTS-All-exploration-1p05,135,2,1,0.0,135,135,11,22
8,Random,MCTS-All-exploration-1p05,106,2,1,0.0,106,106,7,17
9,Random,MCTS-All-exploration-1p05,18,2,1,0.0,18,18,3,6
0,Random,MCTS-Vanilla,159,2,1,0.0,159,159,16,17
1,Random,MCTS-Vanilla,27,2,1,0.0,27,27,4,7
2,Random,MCTS-Vanilla,23,2,1,0.0,23,23,3,5
3,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
4,Random,MCTS-Vanilla,86,2,1,0.0,86,86,3,12
5,Random,MCTS-Vanilla,44,2,1,0.0,44,44,5,8
6,Random,MCTS-Vanilla,66,2,1,0.0,66,66,8,10
7,Random,MCTS-Vanilla,74,2,1,0.0,74,74,4,12
8,Random,MCTS-Vanilla,48,2,1,0.0,48,48,4,9
9,Random,MCTS-Vanilla,50,2,1,0.0,50,50,5,12
