seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Heuristic,MCTS-All-iterations-25,200,1,2,1.0,200,200,23,21
1,Heuristic,MCTS-All-iterations-25,79,1,2,1.0,79,79,9,8
2,Heuristic,MCTS-All-iterations-25,140,1,2,1.0,140,140,15,12
3,Heuristic,MCTS-All-iterations-25,119,1,2,1.0,119,119,18,10
4,Heuristic,MCTS-All-iterations-25,200,2,1,0.0,200,200,24,29
5,Heuristic,MCTS-All-iterations-25,187,1,2,1.0,187,187,25,16
6,Heuristic,MCTS-All-iterations-25,92,2,1,0.0,92,92,8,16
7,Heuristic,MCTS-All-iterations-25,185,2,1,0.0,185,185,21,26
8,Heuristic,MCTS-All-iterations-25,106,1,2,1.0,106,106,15,14
9,Heuristic,MCTS-All-iterations-25,164,2,1,0.0,164,164,25,26
0,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,28,12
1,Heuristic,MCTS-Vanilla,187,1,2,1.0,187,187,23,14
2,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,34,15
3,Heuristic,MCTS-Vanilla,120,1,2,1.0,120,120,15,11
4,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,27,23
5,Heuristic,MCTS-Vanilla,60,1,2,1.0,60,60,11,8
6,Heuristic,MCTS-Vanilla,138,1,2,1.0,138,138,21,7
7,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,34,18
8,Heuristic,MCTS-Vanilla,75,1,2,1.0,75,75,11,8
9,Heuristic,MCTS-Vanilla,179,2,1,0.0,179,179,24,31
0,MCTS-Vanilla,MCTS-All-iterations-25,31,2,1,0.0,31,31,4,6
1,MCTS-Vanilla,MCTS-All-iterations-25,200,1,2,1.0,200,200,20,19
2,MCTS-Vanilla,MCTS-All-iterations-25,200,2,1,0.0,200,200,23,28
3,MCTS-Vanilla,MCTS-All-iterations-25,46,1,2,1.0,46,46,8,6
4,MCTS-Vanilla,MCTS-All-iterations-25,165,2,1,0.0,165,165,15,24
5,MCTS-Vanilla,MCTS-All-iterations-25,185,1,2,1.0,185,185,25,18
6,MCTS-Vanilla,MCTS-All-iterations-25,193,1,2,1.0,193,193,28,26
7,MCTS-Vanilla,MCTS-All-iterations-25,72,2,1,0.0,72,72,9,13
8,MCTS-Vanilla,MCTS-All-iterations-25,200,2,1,0.0,200,200,23,29
9,MCTS-Vanilla,MCTS-All-iterations-25,200,2,1,0.0,200,200,25,32
0,Random,Heuristic,107,2,1,0.0,107,107,7,8
1,Random,Heuristic,14,2,1,0.0,14,14,3,4
2,Random,Heuristic,2,2,1,0.0,2,2,3,3
3,Random,Heuristic,59,2,1,0.0,59,59,6,10
4,Random,Heuristic,85,2,1,0.0,85,85,7,11
5,Random,Heuristic,54,2,1,0.0,54,54,5,8
6,Random,Heuristic,88,2,1,0.0,88,88,9,14
7,Random,Heuristic,89,2,1,0.0,89,89,11,13
8,Random,Heuristic,2,2,1,0.0,2,2,3,3
9,Random,Heuristic,2,2,1,0.0,2,2,3,3
0,Random,MCTS-All-iterations-25,58,2,1,0.0,58,58,3,10
1,Random,MCTS-All-iterations-25,13,2,1,0.0,13,13,3,4
2,Random,MCTS-All-iterations-25,73,2,1,0.0,73,73,5,9
3,Random,MCTS-All-iterations-25,94,2,1,0.0,94,94,7,14
4,Random,MCTS-All-iterations-25,31,2,1,0.0,31,31,3,8
5,Random,MCTS-All-iterations-25,89,2,1,0.0,89,89,6,15
6,Random,MCTS-All-iterations-25,80,2,1,0.0,80,80,5,13
7,Random,MCTS-All-iterations-25,129,2,1,0.0,129,129,12,20
8,Random,MCTS-All-iterations-25,38,2,1,0.0,38,38,6,8
9,Random,MCTS-All-iterations-25,81,2,1,0.0,81,81,8,12
0,Random,MCTS-Vanilla,43,2,1,0.0,43,43,3,5
1,Random,MCTS-Vanilla,94,2,1,0.0,94,94,4,13
2,Random,MCTS-Vanilla,135,2,1,0.0,135,135,10,15
3,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
4,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
5,Random,MCTS-Vanilla,98,2,1,0.0,98,98,8,15
6,Random,MCTS-Vanilla,27,1,2,1.0,27,27,5,5
7,Random,MCTS-Vanilla,59,2,1,0.0,59,59,8,10
8,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
9,Random,MCTS-Vanilla,108,2,1,0.0,108,108,12,21
