seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Heuristic,MCTS-HeurRollout,151,2,1,0.0,151,151,16,17
1,Heuristic,MCTS-HeurRollout,200,1,2,1.0,200,200,21,21
2,Heuristic,MCTS-HeurRollout,200,2,1,0.0,200,200,23,24
3,Heuristic,MCTS-HeurRollout,175,1,2,1.0,175,175,27,18
4,Heuristic,MCTS-HeurRollout,162,1,2,1.0,162,162,22,17
5,Heuristic,MCTS-HeurRollout,187,1,2,1.0,187,187,19,23
6,Heuristic,MCTS-HeurRollout,200,1,2,1.0,200,200,27,25
7,Heuristic,MCTS-HeurRollout,200,2,1,0.0,200,200,25,29
8,Heuristic,MCTS-HeurRollout,21,1,2,1.0,21,21,6,4
9,Heuristic,MCTS-HeurRollout,200,1,2,1.0,200,200,36,32
10,Heuristic,MCTS-HeurRollout,200,2,1,0.0,200,200,24,26
11,Heuristic,MCTS-HeurRollout,153,2,1,0.0,153,153,21,24
12,Heuristic,MCTS-HeurRollout,200,1,2,1.0,200,200,25,23
13,Heuristic,MCTS-HeurRollout,128,2,1,0.0,128,128,10,18
14,Heuristic,MCTS-HeurRollout,68,1,2,1.0,68,68,13,7
15,Heuristic,MCTS-HeurRollout,167,1,2,1.0,167,167,26,19
16,Heuristic,MCTS-HeurRollout,115,2,1,0.0,115,115,16,17
17,Heuristic,MCTS-HeurRollout,200,2,1,0.0,200,200,28,29
18,Heuristic,MCTS-HeurRollout,193,2,1,0.0,193,193,20,26
19,Heuristic,MCTS-HeurRollout,200,1,2,1.0,200,200,29,26
0,Heuristic,MCTS-Vanilla,174,1,2,1.0,174,174,17,15
1,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,19,20
2,Heuristic,MCTS-Vanilla,114,2,1,0.0,114,114,8,14
3,Heuristic,MCTS-Vanilla,29,1,2,1.0,29,29,5,3
4,Heuristic,MCTS-Vanilla,182,1,2,1.0,182,182,23,19
