game_id,winner,placement,snake_id,snake_name,turns_survived,start_length,max_length,final_length,final_health,alive_at_end,survival_score,growth_score,performance_score
5d43c6ed-6b26-4701-b841-8f7d41069578,MCTS,1,85762c34-d623-43ec-8d99-653eb61e1644,MCTS,94,3,7,7,71,1,1.0,0.8,0.96
5d43c6ed-6b26-4701-b841-8f7d41069578,MCTS,2,a84982ce-3346-4639-af71-94a63c233607,Heuristic,92,3,15,15,91,0,0.9787,1.0,0.983
5d43c6ed-6b26-4701-b841-8f7d41069578,MCTS,1,85762c34-d623-43ec-8d99-653eb61e1644,MCTS,94,3,7,7,71,1,1.0,0.8,0.96
5d43c6ed-6b26-4701-b841-8f7d41069578,MCTS,2,a84982ce-3346-4639-af71-94a63c233607,Heuristic,92,3,15,15,91,0,0.9787,1.0,0.983
7c34f8d6-fa35-44f4-a5ae-8c4e410afd0e,Heuristic,1,9b425560-e97b-448e-8be9-b6fe1cd7ef5f,Heuristic,100,3,13,13,95,1,1.0,1.0,1.0
7c34f8d6-fa35-44f4-a5ae-8c4e410afd0e,Heuristic,2,f6563fe4-e8f7-42e1-8fc2-15fb87686b4e,MCTS,98,3,14,14,44,0,0.98,1.0,0.984
7c34f8d6-fa35-44f4-a5ae-8c4e410afd0e,Heuristic,1,9b425560-e97b-448e-8be9-b6fe1cd7ef5f,Heuristic,100,3,13,13,95,1,1.0,1.0,1.0
7c34f8d6-fa35-44f4-a5ae-8c4e410afd0e,Heuristic,2,f6563fe4-e8f7-42e1-8fc2-15fb87686b4e,MCTS,98,3,14,14,44,0,0.98,1.0,0.984
ac0045f3-29df-4f60-b6ad-1d8f79f93eec,MCTS,1,a7908f69-f988-4428-b0fc-8690b35ba011,MCTS,69,3,11,11,99,1,1.0,1.0,1.0
ac0045f3-29df-4f60-b6ad-1d8f79f93eec,MCTS,2,88548a3d-3e7f-4916-bfcf-0d27ad9c13ba,Random,67,3,7,7,98,0,0.971,0.8,0.9368
ac0045f3-29df-4f60-b6ad-1d8f79f93eec,MCTS,1,a7908f69-f988-4428-b0fc-8690b35ba011,MCTS,69,3,11,11,99,1,1.0,1.0,1.0
ac0045f3-29df-4f60-b6ad-1d8f79f93eec,MCTS,2,88548a3d-3e7f-4916-bfcf-0d27ad9c13ba,Random,67,3,7,7,98,0,0.971,0.8,0.9368
82f8763c-97db-4b03-b5c6-997da620749d,Heuristic,1,dbe55708-594f-4051-8b28-ac8b4d62a382,Heuristic,24,3,6,6,100,1,1.0,0.6,0.92
82f8763c-97db-4b03-b5c6-997da620749d,Heuristic,2,8899082d-7639-4005-a34c-96ba1811c24f,Random,22,3,4,4,99,0,0.9167,0.2,0.7733
82f8763c-97db-4b03-b5c6-997da620749d,Heuristic,1,dbe55708-594f-4051-8b28-ac8b4d62a382,Heuristic,24,3,6,6,100,1,1.0,0.6,0.92
82f8763c-97db-4b03-b5c6-997da620749d,Heuristic,2,8899082d-7639-4005-a34c-96ba1811c24f,Random,22,3,4,4,99,0,0.9167,0.2,0.7733
b4d0d723-2a98-4c06-9408-3c55f58085ac,Heuristic,1,c2408126-aac7-4458-9b6e-ee318576b124,Heuristic,14,3,4,4,90,1,1.0,0.2,0.84
b4d0d723-2a98-4c06-9408-3c55f58085ac,Heuristic,2,3a6427e1-acc0-4f6b-81cf-dfebbeded9ed,Random,12,3,3,3,89,0,0.8571,0.0,0.6857
b4d0d723-2a98-4c06-9408-3c55f58085ac,Heuristic,1,c2408126-aac7-4458-9b6e-ee318576b124,Heuristic,14,3,4,4,90,1,1.0,0.2,0.84
b4d0d723-2a98-4c06-9408-3c55f58085ac,Heuristic,2,3a6427e1-acc0-4f6b-81cf-dfebbeded9ed,Random,12,3,3,3,89,0,0.8571,0.0,0.6857
b10a2c16-0b02-4d7c-b425-a90f27747de3,Heuristic,1,67e66110-120a-4b34-9526-1842749542ba,Heuristic,52,3,11,11,98,1,1.0,1.0,1.0
b10a2c16-0b02-4d7c-b425-a90f27747de3,Heuristic,2,d5ee1a26-8852-46f5-b4b6-0692321ac0e6,Random,50,3,4,4,11,0,0.9615,0.2,0.8092
b10a2c16-0b02-4d7c-b425-a90f27747de3,Heuristic,1,67e66110-120a-4b34-9526-1842749542ba,Heuristic,52,3,11,11,98,1,1.0,1.0,1.0
