seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Heuristic,MCTS-All-exploration-1p4,200,2,1,0.0,200,200,17,22
1,Heuristic,MCTS-All-exploration-1p4,200,2,1,0.0,200,200,19,21
2,Heuristic,MCTS-All-exploration-1p4,200,2,1,0.0,200,200,16,26
3,Heuristic,MCTS-All-exploration-1p4,200,2,1,0.0,200,200,24,26
4,Heuristic,MCTS-All-exploration-1p4,200,2,1,0.0,200,200,23,27
5,Heuristic,MCTS-All-exploration-1p4,149,1,2,1.0,149,149,15,22
6,Heuristic,MCTS-All-exploration-1p4,200,1,2,1.0,200,200,28,25
7,Heuristic,MCTS-All-exploration-1p4,200,1,2,1.0,200,200,26,26
8,Heuristic,MCTS-All-exploration-1p4,16,1,2,1.0,16,16,6,3
9,Heuristic,MCTS-All-exploration-1p4,96,2,1,0.0,96,96,14,16
0,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,15,22
1,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,23,18
2,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,31,19
3,Heuristic,MCTS-Vanilla,52,1,2,1.0,52,52,10,3
4,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,20,26
5,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,28,18
6,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,27,22
7,Heuristic,MCTS-Vanilla,97,1,2,1.0,97,97,15,13
8,Heuristic,MCTS-Vanilla,59,1,2,1.0,59,59,10,6
9,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,40,22
0,MCTS-Vanilla,MCTS-All-exploration-1p4,35,1,2,1.0,35,35,6,4
1,MCTS-Vanilla,MCTS-All-exploration-1p4,92,1,2,1.0,92,92,10,9
2,MCTS-Vanilla,MCTS-All-exploration-1p4,193,2,1,0.0,193,193,22,28
3,MCTS-Vanilla,MCTS-All-exploration-1p4,194,2,1,0.0,194,194,15,24
4,MCTS-Vanilla,MCTS-All-exploration-1p4,200,2,1,0.0,200,200,19,24
5,MCTS-Vanilla,MCTS-All-exploration-1p4,200,2,1,0.0,200,200,19,26
6,MCTS-Vanilla,MCTS-All-exploration-1p4,116,1,2,1.0,116,116,14,12
7,MCTS-Vanilla,MCTS-All-exploration-1p4,200,2,1,0.0,200,200,16,34
8,MCTS-Vanilla,MCTS-All-exploration-1p4,134,2,1,0.0,134,134,18,24
9,MCTS-Vanilla,MCTS-All-exploration-1p4,8,1,2,1.0,8,8,4,4
0,Random,Heuristic,102,2,1,0.0,102,102,7,7
1,Random,Heuristic,26,2,1,0.0,26,26,3,4
2,Random,Heuristic,2,2,1,0.0,2,2,3,3
3,Random,Heuristic,39,2,1,0.0,39,39,3,6
4,Random,Heuristic,52,2,1,0.0,52,52,5,6
5,Random,Heuristic,2,2,1,0.0,2,2,3,3
6,Random,Heuristic,82,2,1,0.0,82,82,8,10
7,Random,Heuristic,27,2,1,0.0,27,27,4,5
8,Random,Heuristic,36,2,1,0.0,36,36,5,8
9,Random,Heuristic,14,2,1,0.0,14,14,3,5
0,Random,MCTS-All-exploration-1p4,12,2,1,0.0,12,12,3,4
1,Random,MCTS-All-exploration-1p4,2,2,1,0.0,2,2,3,3
2,Random,MCTS-All-exploration-1p4,64,2,1,0.0,64,64,3,11
3,Random,MCTS-All-exploration-1p4,38,2,1,0.0,38,38,3,9
4,Random,MCTS-All-exploration-1p4,62,2,1,0.0,62,62,5,10
5,Random,MCTS-All-exploration-1p4,66,2,1,0.0,66,66,8,13
6,Random,MCTS-All-exploration-1p4,106,2,1,0.0,106,106,8,17
7,Random,MCTS-All-exploration-1p4,23,2,1,0.0,23,23,4,7
8,Random,MCTS-All-exploration-1p4,138,2,1,0.0,138,138,17,23
9,Random,MCTS-All-exploration-1p4,133,2,1,0.0,133,133,13,25
0,Random,MCTS-Vanilla,66,2,1,0.0,66,66,3,9
1,Random,MCTS-Vanilla,69,2,1,0.0,69,69,4,10
2,Random,MCTS-Vanilla,78,2,1,0.0,78,78,7,8
3,Random,MCTS-Vanilla,21,2,1,0.0,21,21,3,7
4,Random,MCTS-Vanilla,21,2,1,0.0,21,21,3,5
5,Random,MCTS-Vanilla,101,2,1,0.0,101,101,12,14
6,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
7,Random,MCTS-Vanilla,62,2,1,0.0,62,62,12,6
8,Random,MCTS-Vanilla,26,2,1,0.0,26,26,5,6
9,Random,MCTS-Vanilla,103,2,1,0.0,103,103,8,17
