seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Heuristic,MCTS-All-iterations-50,189,1,2,1.0,189,189,19,20
1,Heuristic,MCTS-All-iterations-50,200,1,2,1.0,200,200,20,20
2,Heuristic,MCTS-All-iterations-50,200,1,2,1.0,200,200,27,22
3,Heuristic,MCTS-All-iterations-50,192,2,1,0.0,192,192,23,22
4,Heuristic,MCTS-All-iterations-50,200,2,1,0.0,200,200,22,27
5,Heuristic,MCTS-All-iterations-50,200,1,2,1.0,200,200,27,17
6,Heuristic,MCTS-All-iterations-50,190,2,1,0.0,190,190,20,24
7,Heuristic,MCTS-All-iterations-50,129,1,2,1.0,129,129,17,16
8,Heuristic,MCTS-All-iterations-50,108,1,2,1.0,108,108,15,15
9,Heuristic,MCTS-All-iterations-50,155,1,2,1.0,155,155,28,22
0,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,18,21
1,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,20,22
2,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,19,26
3,Heuristic,MCTS-Vanilla,64,1,2,1.0,64,64,10,6
4,Heuristic,MCTS-Vanilla,14,1,2,1.0,14,14,4,3
5,Heuristic,MCTS-Vanilla,45,1,2,1.0,45,45,7,6
6,Heuristic,MCTS-Vanilla,31,1,2,1.0,31,31,5,4
7,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,34,18
8,Heuristic,MCTS-Vanilla,47,1,2,1.0,47,47,11,5
9,Heuristic,MCTS-Vanilla,164,1,2,1.0,164,164,25,26
0,MCTS-Vanilla,MCTS-All-iterations-50,200,2,1,0.0,200,200,13,27
1,MCTS-Vanilla,MCTS-All-iterations-50,135,1,2,1.0,135,135,14,13
2,MCTS-Vanilla,MCTS-All-iterations-50,44,1,2,1.0,44,44,6,5
3,MCTS-Vanilla,MCTS-All-iterations-50,39,2,1,0.0,39,39,6,8
4,MCTS-Vanilla,MCTS-All-iterations-50,200,2,1,0.0,200,200,18,26
5,MCTS-Vanilla,MCTS-All-iterations-50,58,2,1,0.0,58,58,7,9
6,MCTS-Vanilla,MCTS-All-iterations-50,200,2,1,0.0,200,200,23,25
7,MCTS-Vanilla,MCTS-All-iterations-50,200,1,2,1.0,200,200,25,24
8,MCTS-Vanilla,MCTS-All-iterations-50,200,2,1,0.0,200,200,18,32
9,MCTS-Vanilla,MCTS-All-iterations-50,131,2,1,0.0,131,131,15,27
0,Random,Heuristic,51,2,1,0.0,51,51,3,4
1,Random,Heuristic,85,2,1,0.0,85,85,6,7
2,Random,Heuristic,126,2,1,0.0,126,126,15,14
3,Random,Heuristic,2,2,1,0.0,2,2,3,3
4,Random,Heuristic,128,2,1,0.0,128,128,10,18
5,Random,Heuristic,67,2,1,0.0,67,67,9,11
6,Random,Heuristic,40,2,1,0.0,40,40,8,3
7,Random,Heuristic,59,2,1,0.0,59,59,6,9
8,Random,Heuristic,2,2,1,0.0,2,2,3,3
9,Random,Heuristic,42,2,1,0.0,42,42,4,8
0,Random,MCTS-All-iterations-50,2,2,1,0.0,2,2,3,3
1,Random,MCTS-All-iterations-50,56,2,1,0.0,56,56,3,10
2,Random,MCTS-All-iterations-50,2,2,1,0.0,2,2,3,3
3,Random,MCTS-All-iterations-50,21,1,2,1.0,21,21,5,5
4,Random,MCTS-All-iterations-50,72,2,1,0.0,72,72,3,14
5,Random,MCTS-All-iterations-50,2,2,1,0.0,2,2,3,3
6,Random,MCTS-All-iterations-50,75,2,1,0.0,75,75,8,11
7,Random,MCTS-All-iterations-50,42,2,1,0.0,42,42,6,9
8,Random,MCTS-All-iterations-50,78,2,1,0.0,78,78,8,14
9,Random,MCTS-All-iterations-50,2,2,1,0.0,2,2,3,3
0,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
1,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
2,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
3,Random,MCTS-Vanilla,63,2,1,0.0,63,63,3,11
4,Random,MCTS-Vanilla,24,2,1,0.0,24,24,3,6
5,Random,MCTS-Vanilla,106,2,1,0.0,106,106,11,14
6,Random,MCTS-Vanilla,132,2,1,0.0,132,132,13,18
7,Random,MCTS-Vanilla,70,2,1,0.0,70,70,8,12
8,Random,MCTS-Vanilla,34,2,1,0.0,34,34,4,7
9,Random,MCTS-Vanilla,34,2,1,0.0,34,34,3,8
