seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Heuristic,MCTS-All-prior_bonus_scale-1p5,189,2,1,0.0,189,189,18,21
1,Heuristic,MCTS-All-prior_bonus_scale-1p5,200,1,2,1.0,200,200,24,18
2,Heuristic,MCTS-All-prior_bonus_scale-1p5,166,2,1,0.0,166,166,27,17
3,Heuristic,MCTS-All-prior_bonus_scale-1p5,68,1,2,1.0,68,68,10,6
4,Heuristic,MCTS-All-prior_bonus_scale-1p5,142,1,2,1.0,142,142,18,16
5,Heuristic,MCTS-All-prior_bonus_scale-1p5,200,2,1,0.0,200,200,20,25
6,Heuristic,MCTS-All-prior_bonus_scale-1p5,200,1,2,1.0,200,200,30,24
7,Heuristic,MCTS-All-prior_bonus_scale-1p5,191,2,1,0.0,191,191,22,28
8,Heuristic,MCTS-All-prior_bonus_scale-1p5,159,1,2,1.0,159,159,24,23
9,Heuristic,MCTS-All-prior_bonus_scale-1p5,183,2,1,0.0,183,183,29,32
0,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,21,19
1,Heuristic,MCTS-Vanilla,186,2,1,0.0,186,186,16,19
2,Heuristic,MCTS-Vanilla,151,1,2,1.0,151,151,20,12
3,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,28,18
4,Heuristic,MCTS-Vanilla,177,1,2,1.0,177,177,18,23
5,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,25,20
6,Heuristic,MCTS-Vanilla,103,2,1,0.0,103,103,15,14
7,Heuristic,MCTS-Vanilla,51,1,2,1.0,51,51,11,6
8,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,28,24
9,Heuristic,MCTS-Vanilla,60,1,2,1.0,60,60,10,8
0,MCTS-Vanilla,MCTS-All-prior_bonus_scale-1p5,200,1,2,1.0,200,200,23,19
1,MCTS-Vanilla,MCTS-All-prior_bonus_scale-1p5,200,1,2,1.0,200,200,22,22
2,MCTS-Vanilla,MCTS-All-prior_bonus_scale-1p5,104,2,1,0.0,104,104,12,16
3,MCTS-Vanilla,MCTS-All-prior_bonus_scale-1p5,19,1,2,1.0,19,19,5,3
4,MCTS-Vanilla,MCTS-All-prior_bonus_scale-1p5,200,2,1,0.0,200,200,23,26
5,MCTS-Vanilla,MCTS-All-prior_bonus_scale-1p5,200,1,2,1.0,200,200,22,20
6,MCTS-Vanilla,MCTS-All-prior_bonus_scale-1p5,41,1,2,1.0,41,41,8,5
7,MCTS-Vanilla,MCTS-All-prior_bonus_scale-1p5,183,1,2,1.0,183,183,25,24
8,MCTS-Vanilla,MCTS-All-prior_bonus_scale-1p5,16,2,1,0.0,16,16,3,5
9,MCTS-Vanilla,MCTS-All-prior_bonus_scale-1p5,200,2,1,0.0,200,200,28,41
0,Random,Heuristic,2,2,1,0.0,2,2,3,3
1,Random,Heuristic,2,2,1,0.0,2,2,3,3
2,Random,Heuristic,67,2,1,0.0,67,67,4,7
3,Random,Heuristic,2,2,1,0.0,2,2,3,3
4,Random,Heuristic,9,2,1,0.0,9,9,3,4
5,Random,Heuristic,145,2,1,0.0,145,145,13,16
6,Random,Heuristic,77,2,1,0.0,77,77,7,12
7,Random,Heuristic,32,2,1,0.0,32,32,5,6
8,Random,Heuristic,2,2,1,0.0,2,2,3,3
9,Random,Heuristic,2,2,1,0.0,2,2,3,3
0,Random,MCTS-All-prior_bonus_scale-1p5,2,2,1,0.0,2,2,3,3
1,Random,MCTS-All-prior_bonus_scale-1p5,58,2,1,0.0,58,58,3,10
2,Random,MCTS-All-prior_bonus_scale-1p5,20,2,1,0.0,20,20,3,5
3,Random,MCTS-All-prior_bonus_scale-1p5,33,2,1,0.0,33,33,5,6
4,Random,MCTS-All-prior_bonus_scale-1p5,2,2,1,0.0,2,2,3,3
5,Random,MCTS-All-prior_bonus_scale-1p5,134,2,1,0.0,134,134,11,21
6,Random,MCTS-All-prior_bonus_scale-1p5,94,2,1,0.0,94,94,9,13
7,Random,MCTS-All-prior_bonus_scale-1p5,65,2,1,0.0,65,65,8,14
8,Random,MCTS-All-prior_bonus_scale-1p5,21,2,1,0.0,21,21,3,6
9,Random,MCTS-All-prior_bonus_scale-1p5,47,2,1,0.0,47,47,4,14
0,Random,MCTS-Vanilla,69,2,1,0.0,69,69,5,9
1,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
2,Random,MCTS-Vanilla,69,2,1,0.0,69,69,7,9
3,Random,MCTS-Vanilla,111,2,1,0.0,111,111,8,14
4,Random,MCTS-Vanilla,59,2,1,0.0,59,59,5,9
5,Random,MCTS-Vanilla,47,2,1,0.0,47,47,5,8
6,Random,MCTS-Vanilla,120,2,1,0.0,120,120,13,14
7,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
8,Random,MCTS-Vanilla,44,2,1,0.0,44,44,4,7
9,Random,MCTS-Vanilla,106,2,1,0.0,106,106,14,20
