seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Heuristic,MCTS-All-rollout_depth-12,200,1,2,1.0,200,200,23,22
1,Heuristic,MCTS-All-rollout_depth-12,200,2,1,0.0,200,200,19,20
2,Heuristic,MCTS-All-rollout_depth-12,200,2,1,0.0,200,200,20,25
3,Heuristic,MCTS-All-rollout_depth-12,77,1,2,1.0,77,77,12,9
4,Heuristic,MCTS-All-rollout_depth-12,134,2,1,0.0,134,134,15,18
5,Heuristic,MCTS-All-rollout_depth-12,186,1,2,1.0,186,186,24,19
6,Heuristic,MCTS-All-rollout_depth-12,101,2,1,0.0,101,101,8,14
7,Heuristic,MCTS-All-rollout_depth-12,87,2,1,0.0,87,87,16,9
8,Heuristic,MCTS-All-rollout_depth-12,195,1,2,1.0,195,195,33,17
9,Heuristic,MCTS-All-rollout_depth-12,164,1,2,1.0,164,164,34,14
0,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,19,19
1,Heuristic,MCTS-Vanilla,149,1,2,1.0,149,149,12,13
2,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,20,26
3,Heuristic,MCTS-Vanilla,84,1,2,1.0,84,84,16,7
4,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,24,25
5,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,19,22
6,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,26,22
7,Heuristic,MCTS-Vanilla,12,1,2,1.0,12,12,6,3
8,Heuristic,MCTS-Vanilla,74,1,2,1.0,74,74,12,8
9,Heuristic,MCTS-Vanilla,196,1,2,1.0,196,196,29,29
0,MCTS-Vanilla,MCTS-All-rollout_depth-12,200,2,1,0.0,200,200,20,24
1,MCTS-Vanilla,MCTS-All-rollout_depth-12,200,2,1,0.0,200,200,14,25
2,MCTS-Vanilla,MCTS-All-rollout_depth-12,192,2,1,0.0,192,192,19,25
3,MCTS-Vanilla,MCTS-All-rollout_depth-12,144,2,1,0.0,144,144,15,18
4,MCTS-Vanilla,MCTS-All-rollout_depth-12,200,2,1,0.0,200,200,17,30
5,MCTS-Vanilla,MCTS-All-rollout_depth-12,200,2,1,0.0,200,200,17,25
6,MCTS-Vanilla,MCTS-All-rollout_depth-12,66,2,1,0.0,66,66,9,10
7,MCTS-Vanilla,MCTS-All-rollout_depth-12,200,2,1,0.0,200,200,17,34
8,MCTS-Vanilla,MCTS-All-rollout_depth-12,200,1,2,1.0,200,200,28,25
9,MCTS-Vanilla,MCTS-All-rollout_depth-12,101,2,1,0.0,101,101,12,17
0,Random,Heuristic,73,2,1,0.0,73,73,4,6
1,Random,Heuristic,2,2,1,0.0,2,2,3,3
2,Random,Heuristic,118,2,1,0.0,118,118,8,13
3,Random,Heuristic,2,2,1,0.0,2,2,3,3
4,Random,Heuristic,120,2,1,0.0,120,120,11,13
5,Random,Heuristic,2,2,1,0.0,2,2,3,3
6,Random,Heuristic,36,2,1,0.0,36,36,4,7
7,Random,Heuristic,31,2,1,0.0,31,31,4,5
8,Random,Heuristic,40,2,1,0.0,40,40,3,8
9,Random,Heuristic,27,2,1,0.0,27,27,3,6
0,Random,MCTS-All-rollout_depth-12,33,2,1,0.0,33,33,4,7
1,Random,MCTS-All-rollout_depth-12,36,2,1,0.0,36,36,5,7
2,Random,MCTS-All-rollout_depth-12,68,2,1,0.0,68,68,5,9
3,Random,MCTS-All-rollout_depth-12,99,2,1,0.0,99,99,9,14
4,Random,MCTS-All-rollout_depth-12,146,1,2,1.0,146,146,13,18
5,Random,MCTS-All-rollout_depth-12,148,2,1,0.0,148,148,13,21
6,Random,MCTS-All-rollout_depth-12,200,2,1,0.0,200,200,20,28
7,Random,MCTS-All-rollout_depth-12,58,2,1,0.0,58,58,11,10
8,Random,MCTS-All-rollout_depth-12,50,2,1,0.0,50,50,3,11
9,Random,MCTS-All-rollout_depth-12,10,2,1,0.0,10,10,3,6
0,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
1,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
2,Random,MCTS-Vanilla,152,2,1,0.0,152,152,10,18
3,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
4,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
5,Random,MCTS-Vanilla,114,2,1,0.0,114,114,12,13
6,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
7,Random,MCTS-Vanilla,43,2,1,0.0,43,43,4,8
8,Random,MCTS-Vanilla,71,2,1,0.0,71,71,4,11
9,Random,MCTS-Vanilla,33,2,1,0.0,33,33,4,10
