seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Heuristic,MCTS-All,198,2,1,0.0,198,198,29,14
1,Heuristic,MCTS-All,200,2,1,0.0,200,200,18,25
2,Heuristic,MCTS-All,200,1,2,1.0,200,200,25,25
3,Heuristic,MCTS-All,200,2,1,0.0,200,200,22,24
4,Heuristic,MCTS-All,115,1,2,1.0,115,115,16,16
5,Heuristic,MCTS-All,200,2,1,0.0,200,200,20,26
6,Heuristic,MCTS-All,80,1,2,1.0,80,80,8,11
7,Heuristic,MCTS-All,186,2,1,0.0,186,186,28,23
8,Heuristic,MCTS-All,200,1,2,1.0,200,200,27,26
9,Heuristic,MCTS-All,199,2,1,0.0,199,199,41,24
10,Heuristic,MCTS-All,139,1,2,1.0,139,139,18,17
11,Heuristic,MCTS-All,125,1,2,1.0,125,125,18,22
12,Heuristic,MCTS-All,131,1,2,1.0,131,131,13,19
13,Heuristic,MCTS-All,200,2,1,0.0,200,200,21,27
14,Heuristic,MCTS-All,83,1,2,1.0,83,83,12,8
15,Heuristic,MCTS-All,18,1,2,1.0,18,18,5,4
16,Heuristic,MCTS-All,35,1,2,1.0,35,35,6,3
17,Heuristic,MCTS-All,200,1,2,1.0,200,200,27,25
18,Heuristic,MCTS-All,200,2,1,0.0,200,200,23,24
19,Heuristic,MCTS-All,200,2,1,0.0,200,200,21,32
20,Heuristic,MCTS-All,124,2,1,0.0,124,124,22,16
21,Heuristic,MCTS-All,126,2,1,0.0,126,126,15,20
22,Heuristic,MCTS-All,164,2,1,0.0,164,164,11,23
23,Heuristic,MCTS-All,164,2,1,0.0,164,164,20,21
24,Heuristic,MCTS-All,200,2,1,0.0,200,200,27,28
25,Heuristic,MCTS-All,200,2,1,0.0,200,200,22,28
26,Heuristic,MCTS-All,200,2,1,0.0,200,200,23,30
27,Heuristic,MCTS-All,141,1,2,1.0,141,141,21,26
28,Heuristic,MCTS-All,180,2,1,0.0,180,180,21,27
29,Heuristic,MCTS-All,200,1,2,1.0,200,200,33,26
30,Heuristic,MCTS-All,200,1,2,1.0,200,200,23,23
31,Heuristic,MCTS-All,128,1,2,1.0,128,128,17,16
32,Heuristic,MCTS-All,200,1,2,1.0,200,200,34,34
33,Heuristic,MCTS-All,200,1,2,1.0,200,200,25,22
34,Heuristic,MCTS-All,66,2,1,0.0,66,66,7,8
35,Heuristic,MCTS-All,192,1,2,1.0,192,192,23,21
36,Heuristic,MCTS-All,114,2,1,0.0,114,114,14,17
37,Heuristic,MCTS-All,139,2,1,0.0,139,139,18,20
38,Heuristic,MCTS-All,200,2,1,0.0,200,200,28,34
39,Heuristic,MCTS-All,200,1,2,1.0,200,200,28,26
0,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,15,24
1,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,14,22
2,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,24,24
