agent_a,agent_b,games,wins_a,wins_b,win_rate_a,win_rate_b,avg_turns,avg_survival_a,avg_survival_b,avg_final_length_a,avg_final_length_b
Heuristic,MCTS-All,40,19.0,21.0,0.475,0.525,161.175,161.175,161.175,20.75,21.525
Heuristic,MCTS-HeurRollout,40,27.0,13.0,0.675,0.325,165.225,165.225,165.225,22.025,21.225
Heuristic,MCTS-Opponent,40,20.0,20.0,0.5,0.5,158.475,158.475,158.475,20.2,20.275
Heuristic,MCTS-Prior,40,34.0,6.0,0.85,0.15,75.1,75.1,75.1,11.025,11.1
Heuristic,MCTS-RAVE,40,25.0,15.0,0.625,0.375,155.725,155.725,155.725,20.6,19.0
Heuristic,MCTS-UCB1Tuned,40,23.0,17.0,0.575,0.425,174.775,174.775,174.775,22.575,22.425
Heuristic,MCTS-Vanilla,40,25.0,15.0,0.625,0.375,165.425,165.425,165.425,21.925,20.0
MCTS-Vanilla,MCTS-All,40,12.0,28.0,0.3,0.7,157.9,157.9,157.9,17.9,21.9
Random,Heuristic,40,0.0,40.0,0.0,1.0,44.15,44.15,44.15,4.6,7.125
Random,MCTS-All,40,0.0,40.0,0.0,1.0,56.05,56.05,56.05,5.65,9.975
Random,MCTS-Vanilla,40,1.0,39.0,0.025,0.975,52.375,52.375,52.375,6.2,8.625
