seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,MCTS-All,Random,38,1,2,1.0,38,38,4,3
1,MCTS-All,Random,2,1,2,1.0,2,2,3,3
2,MCTS-All,Random,24,1,2,1.0,24,24,4,3
0,MCTS-All,Heuristic,117,1,2,1.0,117,117,12,8
1,MCTS-All,Heuristic,48,2,1,0.0,48,48,3,5
2,MCTS-All,Heuristic,91,2,1,0.0,91,91,8,6
0,MCTS-All,MCTS-Vanilla,150,1,2,1.0,150,150,14,9
1,MCTS-All,MCTS-Vanilla,51,1,2,1.0,51,51,7,6
2,MCTS-All,MCTS-Vanilla,22,2,1,0.0,22,22,4,5
0,MCTS-HeurRollout,MCTS-Vanilla,150,2,1,0.0,150,150,14,16
1,MCTS-HeurRollout,MCTS-Vanilla,120,1,2,1.0,120,120,10,9
2,MCTS-HeurRollout,MCTS-Vanilla,150,2,1,0.0,150,150,12,20
0,MCTS-Prior,MCTS-HeurRollout,2,2,1,0.0,2,2,3,3
1,MCTS-Prior,MCTS-HeurRollout,47,2,1,0.0,47,47,5,6
2,MCTS-Prior,MCTS-HeurRollout,67,2,1,0.0,67,67,4,6
0,MCTS-Opponent,MCTS-Prior,29,1,2,1.0,29,29,3,3
1,MCTS-Opponent,MCTS-Prior,31,1,2,1.0,31,31,5,4
2,MCTS-Opponent,MCTS-Prior,2,1,2,1.0,2,2,3,3
0,MCTS-RAVE,MCTS-Opponent,91,2,1,0.0,91,91,7,9
1,MCTS-RAVE,MCTS-Opponent,98,2,1,0.0,98,98,7,10
2,MCTS-RAVE,MCTS-Opponent,55,1,2,1.0,55,55,8,5
0,MCTS-UCB1Tuned,MCTS-Opponent,54,1,2,1.0,54,54,5,5
1,MCTS-UCB1Tuned,MCTS-Opponent,60,2,1,0.0,60,60,7,9
2,MCTS-UCB1Tuned,MCTS-Opponent,135,2,1,0.0,135,135,8,16
0,Heuristic,Random,2,1,2,1.0,2,2,3,3
1,Heuristic,Random,2,1,2,1.0,2,2,3,3
2,Heuristic,Random,44,1,2,1.0,44,44,7,5
