seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Random,Heuristic,130,2,1,0.0,130,130,13,10
1,Random,Heuristic,43,2,1,0.0,43,43,3,4
2,Random,Heuristic,2,2,1,0.0,2,2,3,3
3,Random,Heuristic,45,2,1,0.0,45,45,3,8
4,Random,Heuristic,2,2,1,0.0,2,2,3,3
0,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
1,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
2,Random,MCTS-Vanilla,35,1,2,1.0,35,35,4,4
3,Random,MCTS-Vanilla,88,2,1,0.0,88,88,9,8
4,Random,MCTS-Vanilla,52,2,1,0.0,52,52,3,6
0,Random,MCTS-All,78,2,1,0.0,78,78,5,8
1,Random,MCTS-All,2,2,1,0.0,2,2,3,3
2,Random,MCTS-All,96,2,1,0.0,96,96,4,7
3,Random,MCTS-All,2,2,1,0.0,2,2,3,3
4,Random,MCTS-All,169,2,1,0.0,169,169,16,15
0,Heuristic,MCTS-Vanilla,87,2,1,0.0,87,87,5,8
1,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,24,15
2,Heuristic,MCTS-Vanilla,157,1,2,1.0,157,157,17,15
3,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,29,19
4,Heuristic,MCTS-Vanilla,187,2,1,0.0,187,187,22,24
0,Heuristic,MCTS-All,173,2,1,0.0,173,173,14,17
1,Heuristic,MCTS-All,200,1,2,1.0,200,200,23,19
2,Heuristic,MCTS-All,200,1,2,1.0,200,200,30,20
3,Heuristic,MCTS-All,75,1,2,1.0,75,75,10,8
4,Heuristic,MCTS-All,200,1,2,1.0,200,200,31,18
0,MCTS-Vanilla,MCTS-All,79,2,1,0.0,79,79,6,7
1,MCTS-Vanilla,MCTS-All,200,1,2,1.0,200,200,19,14
2,MCTS-Vanilla,MCTS-All,196,2,1,0.0,196,196,19,26
3,MCTS-Vanilla,MCTS-All,180,2,1,0.0,180,180,16,21
4,MCTS-Vanilla,MCTS-All,122,2,1,0.0,122,122,8,16
