seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Heuristic,MCTS-All,200,2,1,0.0,200,200,22,23
1,Heuristic,MCTS-All,200,1,2,1.0,200,200,21,18
2,Heuristic,MCTS-All,72,2,1,0.0,72,72,3,12
3,Heuristic,MCTS-All,173,1,2,1.0,173,173,20,21
4,Heuristic,MCTS-All,38,2,1,0.0,38,38,5,8
0,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,21,21
1,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,22,19
2,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,25,28
3,Heuristic,MCTS-Vanilla,20,1,2,1.0,20,20,5,3
4,Heuristic,MCTS-Vanilla,81,1,2,1.0,81,81,6,9
0,MCTS-Vanilla,MCTS-All,9,1,2,1.0,9,9,3,3
1,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,18,23
2,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,22,32
3,MCTS-Vanilla,MCTS-All,200,1,2,1.0,200,200,26,23
4,MCTS-Vanilla,MCTS-All,200,2,1,0.0,200,200,20,29
0,Random,Heuristic,127,2,1,0.0,127,127,7,12
1,Random,Heuristic,75,2,1,0.0,75,75,8,7
2,Random,Heuristic,97,2,1,0.0,97,97,6,10
3,Random,Heuristic,2,2,1,0.0,2,2,3,3
4,Random,Heuristic,70,2,1,0.0,70,70,6,8
0,Random,MCTS-All,84,2,1,0.0,84,84,5,11
1,Random,MCTS-All,99,2,1,0.0,99,99,5,13
2,Random,MCTS-All,23,2,1,0.0,23,23,3,4
3,Random,MCTS-All,38,2,1,0.0,38,38,5,8
4,Random,MCTS-All,22,2,1,0.0,22,22,3,6
0,Random,MCTS-Vanilla,102,2,1,0.0,102,102,10,11
1,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
2,Random,MCTS-Vanilla,148,2,1,0.0,148,148,10,20
3,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
4,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
