seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,MCTS-All,Random,59,1,2,1.0,59,59,5,3
1,MCTS-All,Random,2,1,2,1.0,2,2,3,3
2,MCTS-All,Random,44,1,2,1.0,44,44,5,3
3,MCTS-All,Random,18,1,2,1.0,18,18,4,4
4,MCTS-All,Random,86,1,2,1.0,86,86,9,8
5,MCTS-All,Random,48,2,1,0.0,48,48,7,7
6,MCTS-All,Random,44,1,2,1.0,44,44,8,4
7,MCTS-All,Random,77,1,2,1.0,77,77,11,7
8,MCTS-All,Random,93,1,2,1.0,93,93,16,8
9,MCTS-All,Random,76,1,2,1.0,76,76,15,5
10,MCTS-All,Random,12,1,2,1.0,12,12,5,3
11,MCTS-All,Random,38,1,2,1.0,38,38,5,4
12,MCTS-All,Random,72,1,2,1.0,72,72,11,6
13,MCTS-All,Random,2,1,2,1.0,2,2,3,3
14,MCTS-All,Random,59,2,1,0.0,59,59,10,6
15,MCTS-All,Random,2,1,2,1.0,2,2,3,3
16,MCTS-All,Random,2,1,2,1.0,2,2,3,3
17,MCTS-All,Random,2,1,2,1.0,2,2,3,3
18,MCTS-All,Random,83,1,2,1.0,83,83,10,6
19,MCTS-All,Random,113,2,1,0.0,113,113,14,11
20,MCTS-All,Random,82,1,2,1.0,82,82,12,6
21,MCTS-All,Random,67,1,2,1.0,67,67,8,7
22,MCTS-All,Random,53,2,1,0.0,53,53,4,7
23,MCTS-All,Random,65,1,2,1.0,65,65,9,5
24,MCTS-All,Random,19,1,2,1.0,19,19,5,3
25,MCTS-All,Random,25,2,1,0.0,25,25,4,7
26,MCTS-All,Random,2,1,2,1.0,2,2,3,3
27,MCTS-All,Random,71,1,2,1.0,71,71,15,4
28,MCTS-All,Random,48,1,2,1.0,48,48,7,6
29,MCTS-All,Random,48,1,2,1.0,48,48,7,4
0,MCTS-All,Heuristic,36,2,1,0.0,36,36,4,5
1,MCTS-All,Heuristic,118,2,1,0.0,118,118,15,6
2,MCTS-All,Heuristic,72,1,2,1.0,72,72,9,3
3,MCTS-All,Heuristic,141,2,1,0.0,141,141,16,19
4,MCTS-All,Heuristic,23,2,1,0.0,23,23,3,5
5,MCTS-All,Heuristic,12,2,1,0.0,12,12,3,4
6,MCTS-All,Heuristic,69,2,1,0.0,69,69,8,9
7,MCTS-All,Heuristic,21,2,1,0.0,21,21,4,10
8,MCTS-All,Heuristic,37,2,1,0.0,37,37,5,7
9,MCTS-All,Heuristic,25,2,1,0.0,25,25,3,7
10,MCTS-All,Heuristic,94,2,1,0.0,94,94,7,10
