seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,MCTS-All,Random,64,1,2,1.0,64,64,8,5
1,MCTS-All,Random,2,1,2,1.0,2,2,3,3
2,MCTS-All,Random,15,1,2,1.0,15,15,3,3
3,MCTS-All,Random,2,1,2,1.0,2,2,3,3
4,MCTS-All,Random,2,1,2,1.0,2,2,3,3
5,MCTS-All,Random,78,1,2,1.0,78,78,12,7
6,MCTS-All,Random,2,1,2,1.0,2,2,3,3
7,MCTS-All,Random,35,1,2,1.0,35,35,6,4
8,MCTS-All,Random,111,1,2,1.0,111,111,14,14
9,MCTS-All,Random,44,1,2,1.0,44,44,9,5
0,MCTS-All,Heuristic,164,1,2,1.0,164,164,14,13
1,MCTS-All,Heuristic,200,2,1,0.0,200,200,18,20
2,MCTS-All,Heuristic,200,2,1,0.0,200,200,17,35
3,MCTS-All,Heuristic,191,1,2,1.0,191,191,25,18
4,MCTS-All,Heuristic,167,2,1,0.0,167,167,13,23
5,MCTS-All,Heuristic,176,2,1,0.0,176,176,14,22
6,MCTS-All,Heuristic,166,2,1,0.0,166,166,25,17
7,MCTS-All,Heuristic,200,2,1,0.0,200,200,24,30
8,MCTS-All,Heuristic,82,2,1,0.0,82,82,11,15
9,MCTS-All,Heuristic,35,2,1,0.0,35,35,3,6
0,MCTS-All,MCTS-Vanilla,200,1,2,1.0,200,200,23,16
1,MCTS-All,MCTS-Vanilla,24,1,2,1.0,24,24,4,4
2,MCTS-All,MCTS-Vanilla,164,2,1,0.0,164,164,24,15
3,MCTS-All,MCTS-Vanilla,200,2,1,0.0,200,200,20,26
4,MCTS-All,MCTS-Vanilla,200,1,2,1.0,200,200,27,14
5,MCTS-All,MCTS-Vanilla,200,2,1,0.0,200,200,19,25
6,MCTS-All,MCTS-Vanilla,178,2,1,0.0,178,178,21,20
7,MCTS-All,MCTS-Vanilla,179,2,1,0.0,179,179,17,23
8,MCTS-All,MCTS-Vanilla,147,2,1,0.0,147,147,16,22
9,MCTS-All,MCTS-Vanilla,87,1,2,1.0,87,87,12,12
0,MCTS-HeurRollout,MCTS-Vanilla,35,1,2,1.0,35,35,3,3
1,MCTS-HeurRollout,MCTS-Vanilla,21,2,1,0.0,21,21,3,4
2,MCTS-HeurRollout,MCTS-Vanilla,182,2,1,0.0,182,182,15,20
3,MCTS-HeurRollout,MCTS-Vanilla,161,2,1,0.0,161,161,23,15
4,MCTS-HeurRollout,MCTS-Vanilla,132,1,2,1.0,132,132,15,13
5,MCTS-HeurRollout,MCTS-Vanilla,200,2,1,0.0,200,200,20,24
6,MCTS-HeurRollout,MCTS-Vanilla,11,1,2,1.0,11,11,4,4
7,MCTS-HeurRollout,MCTS-Vanilla,108,1,2,1.0,108,108,18,9
8,MCTS-HeurRollout,MCTS-Vanilla,45,2,1,0.0,45,45,7,5
9,MCTS-HeurRollout,MCTS-Vanilla,20,2,1,0.0,20,20,3,4
0,MCTS-Prior,MCTS-HeurRollout,2,2,1,0.0,2,2,3,3
1,MCTS-Prior,MCTS-HeurRollout,200,1,2,1.0,200,200,32,15
2,MCTS-Prior,MCTS-HeurRollout,200,1,2,1.0,200,200,27,20
3,MCTS-Prior,MCTS-HeurRollout,200,1,2,1.0,200,200,28,20
4,MCTS-Prior,MCTS-HeurRollout,38,2,1,0.0,38,38,4,5
